epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24452.8,0.78701,0.99317,1.16498,0.76865,0.6881,0.74587,0.60169,0.77935,0.87272,1.11976,0.000955072,0.000955072,0.000955072
43,25033.1,0.78582,0.99435,1.15866,0.7688,0.68769,0.74643,0.60236,0.77803,0.87259,1.11795,0.000952889,0.000952889,0.000952889
44,25610,0.77606,0.9771,1.15639,0.76942,0.68836,0.74678,0.60279,0.77721,0.87208,1.1168,0.000950658,0.000950658,0.000950658
45,26192.5,0.7786,0.97811,1.15802,0.76787,0.6888,0.74692,0.60339,0.77672,0.87266,1.1164,0.000948377,0.000948377,0.000948377
46,26770.1,0.7755,0.96764,1.14993,0.76824,0.68932,0.74707,0.60412,0.77592,0.87244,1.11562,0.000946048,0.000946048,0.000946048
47,27352.8,0.77676,0.96785,1.15484,0.76978,0.68879,0.74761,0.6048,0.77544,0.87265,1.11513,0.000943671,0.000943671,0.000943671
48,27930.7,0.76578,0.96013,1.14723,0.77031,0.68886,0.74738,0.60507,0.77571,0.87288,1.11529,0.000941245,0.000941245,0.000941245
49,28510,0.77164,0.95841,1.15036,0.77102,0.68925,0.74812,0.60571,0.77471,0.87264,1.11442,0.000938772,0.000938772,0.000938772
50,29089.6,0.76556,0.93912,1.14361,0.77098,0.6894,0.7481,0.606,0.77431,0.87328,1.11398,0.000936251,0.000936251,0.000936251
51,29666.4,0.76281,0.94499,1.14546,0.77248,0.68878,0.74863,0.60664,0.77291,0.8727,1.11251,0.000933683,0.000933683,0.000933683
52,30243.8,0.76066,0.9476,1.14503,0.77336,0.68954,0.74905,0.60758,0.77198,0.87181,1.11151,0.000931067,0.000931067,0.000931067
53,30820.8,0.757,0.9384,1.14343,0.77325,0.68988,0.74974,0.60817,0.77192,0.87117,1.11153,0.000928405,0.000928405,0.000928405
54,31398.2,0.75909,0.93674,1.1423,0.7724,0.69078,0.75005,0.60892,0.77069,0.87197,1.10972,0.000925697,0.000925697,0.000925697
55,31975.5,0.75988,0.93017,1.13897,0.77141,0.69322,0.75031,0.6095,0.77057,0.87432,1.1085,0.000922942,0.000922942,0.000922942
56,32552.7,0.75416,0.92504,1.13808,0.77104,0.69382,0.75061,0.60991,0.76979,0.87589,1.1069,0.000920142,0.000920142,0.000920142
57,33132.7,0.75487,0.92536,1.13652,0.77099,0.6941,0.75128,0.6106,0.76787,0.87614,1.10431,0.000917296,0.000917296,0.000917296
58,33710.1,0.75475,0.92066,1.13827,0.77214,0.69305,0.7517,0.61141,0.76638,0.87344,1.10194,0.000914405,0.000914405,0.000914405
59,34287,0.75144,0.91492,1.1328,0.77391,0.6935,0.75273,0.61239,0.76484,0.8711,1.09977,0.000911469,0.000911469,0.000911469
60,34862.7,0.74559,0.90941,1.12891,0.77567,0.6933,0.75332,0.61338,0.76305,0.86988,1.09792,0.000908488,0.000908488,0.000908488
61,35439.6,0.74518,0.90794,1.12678,0.77559,0.69386,0.7536,0.61401,0.76055,0.86783,1.09508,0.000905463,0.000905463,0.000905463
62,36026.3,0.74766,0.90833,1.13217,0.7728,0.69604,0.75408,0.61473,0.75894,0.86452,1.09293,0.000902395,0.000902395,0.000902395
63,36613,0.74154,0.89406,1.12694,0.77365,0.69677,0.75473,0.61547,0.75707,0.86306,1.09061,0.000899282,0.000899282,0.000899282
64,37188.9,0.73687,0.88954,1.12544,0.77304,0.69793,0.75493,0.61607,0.7562,0.86239,1.08963,0.000896127,0.000896127,0.000896127
65,37765.2,0.73258,0.89481,1.12401,0.7725,0.69897,0.75542,0.61732,0.75439,0.85802,1.08753,0.000892928,0.000892928,0.000892928
66,38344.4,0.73532,0.89114,1.12245,0.772,0.69948,0.75615,0.61794,0.75267,0.85395,1.08533,0.000889687,0.000889687,0.000889687
67,38921.1,0.73152,0.88819,1.12174,0.7709,0.70182,0.75664,0.61881,0.75174,0.85091,1.08403,0.000886404,0.000886404,0.000886404
68,39498.5,0.7272,0.87996,1.1177,0.77078,0.70138,0.75765,0.6197,0.75039,0.84886,1.08213,0.000883079,0.000883079,0.000883079
69,40074.9,0.72754,0.87234,1.11768,0.77172,0.70352,0.75832,0.62072,0.7498,0.84873,1.08118,0.000879713,0.000879713,0.000879713
70,40652.4,0.7298,0.87595,1.1181,0.77304,0.70256,0.7586,0.62112,0.74952,0.8474,1.08095,0.000876305,0.000876305,0.000876305
